Description,Year,Quarter,Month,DateofWeek,Hour,UnitPrice,Country,Discount,PaymentMethod,ShippingCost,Category,ShipmentProvider,WarehouseLocation,Actual_Quantity,Predicted_Quantity
Office Chair,2021,Q3,Sep,Thu,0,55.5,Spain,0.49,paypall,8.07,Stationery,DHL,Berlin,40,27.81
Backpack,2020,Q3,Aug,Wed,3,45.33,Norway,0.16,Credit Card,14.84,Furniture,UPS,,12,14.61
Headphones,2021,Q2,Jun,Sat,8,12.0,Belgium,0.33,Bank Transfer,28.87,Accessories,UPS,,31,26.0
Desk Lamp,2022,Q2,Apr,Fri,8,58.96,Belgium,0.23,Credit Card,29.15,Accessories,DHL,Paris,16,24.54
Wireless Mouse,2022,Q2,Apr,Mon,15,63.18,Sweden,0.25,Bank Transfer,17.46,Apparel,Royal Mail,Paris,48,25.19
Wireless Mouse,2023,Q3,Sep,Sun,9,79.93,Italy,0.24,paypall,15.2,Electronics,DHL,Rome,45,23.52
Desk Lamp,2021,Q1,Mar,Sat,20,40.86,Portugal,0.21,paypall,21.72,Stationery,DHL,Amsterdam,13,24.15
Wall Clock,2023,Q4,Oct,Sat,13,52.12,Norway,0.08,Credit Card,13.84,Apparel,UPS,London,20,25.53
Notebook,2020,Q2,May,Wed,7,5.53,Portugal,0.2,paypall,25.16,Furniture,FedEx,Paris,39,21.4
Blue Pen,2024,Q4,Dec,Wed,23,78.64,Norway,0.24,paypall,24.24,Electronics,UPS,Rome,17,25.49
Headphones,2021,Q1,Jan,Wed,15,15.59,Sweden,0.18,paypall,27.48,Apparel,UPS,,43,24.25
Wall Clock,2024,Q4,Nov,Sun,3,57.7,Sweden,0.1,Credit Card,6.58,Apparel,FedEx,Rome,36,25.13
Notebook,2021,Q4,Oct,Thu,8,57.89,United States,0.22,paypall,22.52,Electronics,DHL,London,41,25.73
Headphones,2021,Q1,Mar,Tue,6,40.7,Sweden,0.23,Credit Card,28.12,Accessories,Royal Mail,Paris,28,26.14
USB Cable,2023,Q4,Nov,Wed,22,65.47,Portugal,0.29,Credit Card,9.82,Accessories,Royal Mail,Amsterdam,35,30.73
Notebook,2024,Q4,Oct,Mon,6,62.71,Sweden,0.48,Credit Card,27.23,Stationery,Royal Mail,Berlin,3,21.52
USB Cable,2021,Q4,Dec,Mon,9,-43.89,Germany,0.34,Credit Card,,Apparel,FedEx,,-49,-25.18
Wireless Mouse,2021,Q4,Oct,Sat,4,16.41,Norway,0.41,Bank Transfer,16.72,Stationery,FedEx,London,18,19.51
Desk Lamp,2023,Q3,Sep,Fri,14,66.71,Italy,0.44,paypall,5.08,Electronics,UPS,London,8,23.57
Headphones,2023,Q3,Jul,Fri,9,15.71,France,0.36,Credit Card,15.95,Electronics,UPS,London,9,26.17
Wall Clock,2024,Q3,Sep,Fri,4,11.96,Germany,0.36,paypall,17.14,Apparel,UPS,Paris,5,24.39
Backpack,2023,Q4,Dec,Tue,4,27.29,Australia,0.49,Bank Transfer,27.52,Stationery,DHL,Paris,31,25.64
Backpack,2021,Q1,Feb,Sat,3,26.54,Netherlands,0.29,Bank Transfer,16.21,Accessories,Royal Mail,Berlin,33,27.0
Wireless Mouse,2024,Q4,Oct,Wed,22,60.08,United States,0.09,paypall,17.46,Electronics,Royal Mail,Berlin,3,26.78
Wireless Mouse,2023,Q1,Feb,Tue,21,46.72,Portugal,0.17,paypall,25.26,Accessories,DHL,Rome,19,29.42
White Mug,2020,Q1,Feb,Fri,21,11.2,Sweden,0.49,Bank Transfer,12.39,Accessories,UPS,Paris,25,23.6
T-shirt,2024,Q1,Jan,Wed,5,76.63,Netherlands,0.25,Credit Card,10.62,Accessories,Royal Mail,London,12,27.85
Wall Clock,2022,Q3,Sep,Sun,7,37.37,Netherlands,0.08,Credit Card,26.1,Furniture,UPS,Amsterdam,35,24.83
White Mug,2020,Q1,Feb,Sat,5,20.12,Sweden,0.01,Credit Card,,Electronics,UPS,,-29,-26.24
Wireless Mouse,2024,Q2,Jun,Mon,20,-13.01,Netherlands,1.704005984,Credit Card,,Apparel,UPS,,-42,-24.08
White Mug,2021,Q3,Aug,Sat,12,31.68,United States,0.47,Bank Transfer,18.75,Electronics,Royal Mail,Amsterdam,22,22.96
White Mug,2022,Q3,Aug,Mon,14,70.5,Portugal,0.44,Bank Transfer,11.09,Apparel,Royal Mail,Berlin,19,24.37
Wall Clock,2023,Q4,Dec,Thu,9,67.35,Belgium,0.14,paypall,9.9,Furniture,UPS,Paris,14,24.44
Backpack,2022,Q1,Feb,Sat,12,69.34,Germany,0.48,Credit Card,14.11,Furniture,Royal Mail,Rome,7,26.44
Office Chair,2023,Q3,Aug,Sun,23,64.02,Italy,0.13,paypall,28.26,Accessories,DHL,Amsterdam,18,21.3
Wireless Mouse,2024,Q1,Feb,Thu,13,91.82,United States,0.01,Bank Transfer,6.88,Stationery,DHL,Berlin,40,24.97
Backpack,2023,Q4,Nov,Mon,16,5.42,Australia,0.1,paypall,10.23,Apparel,DHL,Berlin,18,24.21
T-shirt,2022,Q2,May,Fri,4,83.9,Netherlands,0.07,Bank Transfer,16.01,Furniture,FedEx,Amsterdam,15,24.43
Wireless Mouse,2020,Q1,Jan,Thu,4,9.43,Germany,0.29,Bank Transfer,10.1,Accessories,FedEx,Berlin,2,26.0
Wireless Mouse,2020,Q3,Jul,Sat,18,77.44,United States,0.23,paypall,8.99,Stationery,UPS,London,40,24.94
Blue Pen,2020,Q1,Feb,Mon,2,21.81,Netherlands,0.37,Bank Transfer,15.86,Accessories,FedEx,Paris,1,24.95
Blue Pen,2024,Q1,Jan,Wed,1,6.67,Italy,0.41,Credit Card,29.14,Furniture,FedEx,Amsterdam,43,26.4
Headphones,2022,Q3,Jul,Fri,3,2.33,France,0.07,Bank Transfer,15.22,Furniture,DHL,Paris,9,25.31
Wireless Mouse,2020,Q4,Nov,Wed,15,92.39,United Kingdom,0.18,paypall,6.39,Furniture,Royal Mail,Rome,14,24.37
Desk Lamp,2020,Q1,Feb,Fri,22,80.96,Sweden,0.31,Credit Card,,Electronics,FedEx,,-42,-22.64
Wireless Mouse,2023,Q1,Feb,Thu,14,10.99,United States,0.26,Bank Transfer,8.48,Apparel,UPS,Berlin,12,25.49
Blue Pen,2020,Q2,May,Fri,11,9.45,Sweden,0.29,paypall,9.8,Stationery,DHL,Amsterdam,42,26.19
Wall Clock,2021,Q3,Aug,Sat,23,10.49,Belgium,0.15,Bank Transfer,28.42,Apparel,UPS,,21,23.79
Wall Clock,2021,Q2,May,Fri,9,68.84,Netherlands,0.26,Credit Card,28.41,Electronics,FedEx,Paris,31,27.89
T-shirt,2020,Q4,Oct,Thu,13,72.02,Norway,0.17,Bank Transfer,5.58,Accessories,DHL,,19,27.7
Desk Lamp,2021,Q4,Dec,Mon,7,5.77,Italy,0.09,Credit Card,11.26,Accessories,FedEx,London,49,24.33
Wireless Mouse,2022,Q1,Feb,Tue,11,98.45,France,0.23,Credit Card,23.09,Apparel,UPS,Paris,35,23.23
USB Cable,2021,Q1,Feb,Sat,23,37.01,United States,0.03,Credit Card,26.41,Furniture,Royal Mail,London,31,24.95
Wireless Mouse,2023,Q1,Feb,Thu,7,54.36,France,0.44,Credit Card,16.7,Stationery,DHL,London,44,25.28
Wireless Mouse,2024,Q2,Jun,Fri,9,5.27,Norway,0.49,paypall,8.94,Furniture,DHL,Rome,19,23.01
Headphones,2021,Q1,Jan,Tue,11,45.55,Belgium,0.29,Bank Transfer,8.51,Furniture,Royal Mail,London,18,23.26
Backpack,2023,Q3,Jul,Sat,22,69.83,Norway,0.3,Credit Card,16.91,Furniture,Royal Mail,Berlin,15,25.0
T-shirt,2021,Q1,Feb,Thu,12,16.73,United States,0.31,Credit Card,8.29,Accessories,Royal Mail,Amsterdam,29,25.94
USB Cable,2024,Q4,Dec,Fri,15,25.65,Spain,0.5,Bank Transfer,25.73,Accessories,UPS,Amsterdam,46,26.19
T-shirt,2024,Q4,Oct,Wed,1,27.24,Portugal,0.06,Bank Transfer,21.01,Stationery,FedEx,Berlin,16,25.71
Backpack,2020,Q4,Oct,Sun,2,18.59,Norway,0.02,Bank Transfer,12.36,Accessories,UPS,Berlin,15,25.12
T-shirt,2023,Q2,May,Wed,19,98.66,United Kingdom,0.05,Credit Card,24.49,Furniture,Royal Mail,Berlin,36,23.24
Backpack,2022,Q1,Feb,Wed,9,33.98,France,0.08,Credit Card,11.45,Electronics,FedEx,Amsterdam,32,26.83
Blue Pen,2022,Q4,Nov,Wed,23,8.44,Netherlands,0.04,Credit Card,7.62,Accessories,DHL,Berlin,43,25.06
T-shirt,2020,Q1,Jan,Tue,3,17.18,United Kingdom,0.28,Credit Card,23.07,Apparel,FedEx,Amsterdam,19,29.41
Blue Pen,2021,Q1,Feb,Wed,17,53.47,Sweden,0.18,Bank Transfer,14.67,Electronics,Royal Mail,Amsterdam,28,24.86
Office Chair,2024,Q2,Apr,Mon,4,75.51,Belgium,0.39,Credit Card,7.75,Electronics,FedEx,London,13,24.31
Backpack,2022,Q4,Oct,Sat,16,55.9,Norway,0.39,Bank Transfer,18.2,Accessories,DHL,Paris,12,25.47
USB Cable,2024,Q4,Dec,Mon,12,8.77,France,0.42,Bank Transfer,19.29,Accessories,Royal Mail,Paris,44,26.79
Wall Clock,2020,Q2,May,Fri,5,5.93,Netherlands,0.19,Bank Transfer,6.36,Furniture,DHL,Berlin,4,23.58
Wireless Mouse,2022,Q2,Jun,Thu,1,60.62,United States,0.01,Bank Transfer,19.34,Accessories,UPS,Amsterdam,22,24.93
T-shirt,2023,Q2,Jun,Fri,21,66.16,United Kingdom,0.25,Credit Card,28.11,Accessories,FedEx,Paris,12,23.69
White Mug,2020,Q2,May,Thu,16,44.6,Spain,0.49,paypall,7.83,Electronics,DHL,Amsterdam,4,23.94
Notebook,2021,Q2,Apr,Sun,21,6.22,Australia,0.49,Bank Transfer,6.92,Accessories,DHL,,25,22.8
Blue Pen,2020,Q3,Jul,Wed,3,73.12,United Kingdom,0.06,paypall,14.28,Furniture,FedEx,Rome,17,24.97
Notebook,2024,Q3,Jul,Wed,14,21.98,Germany,0.21,Bank Transfer,7.41,Stationery,DHL,Paris,22,26.33
T-shirt,2021,Q3,Jul,Tue,2,36.54,Norway,0.01,paypall,18.63,Accessories,FedEx,London,9,23.35
Wall Clock,2021,Q2,Jun,Fri,11,-19.61,Italy,1.611507777,paypall,,Furniture,UPS,,-22,-22.7
Wireless Mouse,2024,Q3,Aug,Sun,0,55.1,Netherlands,0.1,Credit Card,10.07,Furniture,DHL,Paris,25,28.55
Wall Clock,2023,Q3,Aug,Fri,19,-48.13,Spain,1.911727766,Credit Card,,Furniture,DHL,,-33,-25.9
Notebook,2021,Q4,Nov,Thu,12,56.25,Portugal,0.07,Bank Transfer,24.99,Accessories,FedEx,London,34,27.3
Blue Pen,2021,Q1,Feb,Wed,0,-10.13,Norway,1.118719432,paypall,,Furniture,FedEx,,-7,-17.93
USB Cable,2021,Q4,Nov,Thu,14,97.59,Italy,0.33,paypall,12.09,Apparel,UPS,Rome,45,28.19
USB Cable,2022,Q4,Nov,Tue,15,40.53,Portugal,0.04,Bank Transfer,25.55,Accessories,DHL,London,4,27.57
USB Cable,2023,Q1,Feb,Wed,11,64.24,Italy,0.37,paypall,30.0,Electronics,FedEx,London,44,30.98
Wireless Mouse,2023,Q3,Aug,Tue,12,1.19,United States,0.33,Credit Card,28.64,Electronics,DHL,Paris,38,23.45
Headphones,2021,Q2,May,Thu,4,46.17,Spain,0.31,paypall,11.85,Apparel,DHL,Amsterdam,5,27.36
Wall Clock,2024,Q4,Oct,Fri,17,80.17,Netherlands,0.14,Credit Card,25.97,Furniture,Royal Mail,Berlin,20,23.74
Office Chair,2020,Q2,May,Tue,21,21.17,Sweden,0.02,Bank Transfer,6.03,Accessories,FedEx,Rome,1,24.16
Office Chair,2020,Q4,Oct,Sun,3,54.13,Portugal,0.45,Bank Transfer,17.68,Furniture,FedEx,Berlin,8,25.7
T-shirt,2023,Q3,Sep,Thu,3,15.18,Sweden,0.03,Bank Transfer,20.95,Furniture,UPS,Berlin,49,23.36
USB Cable,2023,Q3,Sep,Thu,23,43.74,Norway,0.46,paypall,15.81,Accessories,UPS,Paris,8,26.21
Desk Lamp,2021,Q3,Aug,Wed,16,68.65,Germany,0.36,Credit Card,22.55,Electronics,DHL,Rome,23,23.08
Desk Lamp,2021,Q3,Sep,Wed,23,11.77,Australia,0.26,paypall,23.55,Accessories,Royal Mail,Berlin,48,26.98
White Mug,2023,Q2,May,Tue,18,34.44,Portugal,0.27,Bank Transfer,24.76,Furniture,FedEx,Paris,48,25.44
T-shirt,2021,Q1,Feb,Tue,19,16.63,Australia,0.23,Credit Card,17.04,Stationery,Royal Mail,Paris,34,24.29
Desk Lamp,2021,Q2,Apr,Mon,16,49.11,Sweden,0.02,Credit Card,24.36,Accessories,Royal Mail,London,34,26.99
Headphones,2020,Q2,Apr,Wed,9,13.26,Netherlands,0.02,Bank Transfer,20.87,Stationery,UPS,Amsterdam,4,25.65
Notebook,2023,Q3,Jul,Sun,10,-52.44,Norway,1.649865484,paypall,,Furniture,FedEx,,-27,-21.46
Backpack,2020,Q3,Sep,Thu,16,8.64,United Kingdom,0.22,Bank Transfer,28.23,Stationery,Royal Mail,,3,25.46
Office Chair,2024,Q2,Jun,Tue,16,23.89,Portugal,0.25,Bank Transfer,13.86,Electronics,Royal Mail,Amsterdam,48,27.81
Blue Pen,2024,Q3,Sep,Fri,6,75.03,Netherlands,0.2,Bank Transfer,9.93,Stationery,FedEx,Rome,4,25.18
Headphones,2020,Q1,Mar,Mon,14,36.79,Belgium,0.34,Bank Transfer,21.92,Electronics,Royal Mail,London,45,23.21
Wireless Mouse,2022,Q3,Sep,Sun,12,13.83,Australia,0.3,Bank Transfer,21.58,Electronics,DHL,Amsterdam,41,24.45
Backpack,2022,Q1,Jan,Fri,3,82.98,Netherlands,0.22,paypall,28.04,Accessories,DHL,Paris,28,27.65
Backpack,2024,Q2,Apr,Sun,8,59.88,Italy,0.44,Credit Card,14.9,Apparel,UPS,Berlin,38,26.51
Headphones,2023,Q2,May,Wed,6,94.55,Netherlands,0.39,paypall,14.09,Apparel,DHL,London,9,23.99
T-shirt,2020,Q1,Feb,Fri,3,1.66,Germany,0.5,Credit Card,6.8,Furniture,UPS,Rome,47,23.65
Backpack,2021,Q3,Aug,Wed,6,99.6,Australia,0.15,Bank Transfer,18.48,Stationery,FedEx,London,32,29.4
White Mug,2020,Q2,May,Sun,4,1.16,France,0.17,Bank Transfer,27.42,Electronics,DHL,Amsterdam,19,21.12
Office Chair,2024,Q3,Jul,Sun,18,10.27,Germany,0.32,Bank Transfer,12.64,Stationery,FedEx,Paris,11,26.4
Headphones,2020,Q2,Jun,Sat,5,49.51,Germany,0.1,paypall,6.86,Electronics,Royal Mail,Paris,7,22.81
Wireless Mouse,2022,Q1,Mar,Wed,2,68.27,Norway,0.44,Bank Transfer,19.13,Electronics,Royal Mail,London,21,27.52
Desk Lamp,2024,Q2,Apr,Mon,22,96.34,Netherlands,0.11,Bank Transfer,25.35,Electronics,FedEx,,21,24.31
T-shirt,2023,Q4,Nov,Thu,4,69.18,Belgium,0.29,Credit Card,17.69,Accessories,DHL,Amsterdam,43,26.39
Office Chair,2021,Q1,Feb,Tue,1,50.64,Portugal,0.25,Bank Transfer,,Electronics,DHL,,-49,-26.22
Notebook,2024,Q4,Dec,Sat,19,98.64,Belgium,0.5,paypall,17.81,Stationery,Royal Mail,Amsterdam,13,29.6
Headphones,2022,Q2,Jun,Wed,14,79.34,Sweden,0.35,Bank Transfer,21.9,Stationery,UPS,London,14,23.27
Notebook,2023,Q1,Mar,Mon,18,30.5,Italy,0.25,Credit Card,,Stationery,UPS,,-22,-23.24
Desk Lamp,2024,Q3,Sep,Wed,4,27.17,Portugal,0.37,Bank Transfer,14.24,Stationery,FedEx,Rome,22,22.89
Wall Clock,2024,Q1,Mar,Wed,16,60.49,Spain,0.3,Bank Transfer,10.24,Stationery,Royal Mail,Amsterdam,21,25.47
Desk Lamp,2021,Q1,Jan,Wed,14,18.83,Portugal,0.18,paypall,5.18,Electronics,DHL,Amsterdam,40,23.53
Backpack,2023,Q2,May,Thu,7,49.65,Spain,0.37,paypall,25.62,Furniture,UPS,Paris,6,23.21
Blue Pen,2021,Q4,Dec,Thu,0,7.48,Germany,0.38,Credit Card,,Accessories,FedEx,,-41,-28.91
Wall Clock,2024,Q4,Dec,Wed,5,29.56,Germany,0.47,Bank Transfer,6.61,Furniture,DHL,Paris,5,23.16
USB Cable,2020,Q3,Jul,Wed,5,21.0,Portugal,0.27,paypall,26.32,Electronics,DHL,Berlin,4,23.05
Blue Pen,2024,Q4,Dec,Thu,22,87.73,Spain,0.39,Credit Card,7.76,Accessories,DHL,Paris,6,24.31
Desk Lamp,2024,Q4,Nov,Wed,16,62.0,Belgium,0.37,paypall,9.34,Furniture,UPS,Rome,26,26.55
Blue Pen,2020,Q3,Jul,Tue,2,58.2,United Kingdom,0.47,paypall,,Furniture,Royal Mail,,-12,-25.99
T-shirt,2020,Q1,Mar,Tue,1,43.8,United States,0.07,paypall,17.45,Accessories,UPS,Berlin,34,22.78
White Mug,2020,Q4,Dec,Tue,17,80.78,Belgium,0.09,Credit Card,,Apparel,DHL,,-39,-17.03
Backpack,2020,Q4,Dec,Tue,22,15.67,United States,0.27,Credit Card,,Accessories,DHL,,-12,-24.73
Blue Pen,2022,Q1,Jan,Sun,6,2.15,Sweden,0.28,Bank Transfer,26.4,Electronics,FedEx,Amsterdam,44,25.05
Backpack,2022,Q2,Apr,Sat,21,29.4,Germany,0.22,Bank Transfer,16.59,Accessories,FedEx,Rome,49,26.43
USB Cable,2023,Q4,Dec,Sat,16,77.47,Sweden,0.03,Credit Card,10.6,Furniture,FedEx,Amsterdam,21,27.59
Wall Clock,2023,Q2,May,Fri,5,34.42,United States,0.12,paypall,6.46,Stationery,FedEx,Rome,10,22.96
Blue Pen,2024,Q1,Mar,Sun,21,99.63,Belgium,0.49,paypall,19.49,Accessories,DHL,Paris,21,27.66
Headphones,2024,Q3,Jul,Sun,16,23.0,Sweden,0.48,Credit Card,22.75,Stationery,FedEx,Amsterdam,8,22.07
USB Cable,2021,Q4,Dec,Wed,0,66.97,Germany,0.2,Credit Card,16.17,Stationery,Royal Mail,Rome,14,27.61
Wireless Mouse,2024,Q2,May,Thu,2,19.95,United States,0.24,paypall,,Accessories,DHL,,-37,-28.63
White Mug,2020,Q3,Sep,Fri,1,93.4,France,0.29,paypall,,Apparel,Royal Mail,,-26,-24.21
Blue Pen,2022,Q4,Nov,Sun,6,39.89,United Kingdom,0.27,Credit Card,16.17,Apparel,FedEx,Rome,32,24.03
Wireless Mouse,2020,Q2,May,Fri,18,-4.28,Netherlands,1.218055594,Bank Transfer,,Stationery,Royal Mail,,-30,-27.35
Blue Pen,2022,Q3,Jul,Tue,23,99.28,France,0.05,Bank Transfer,24.18,Accessories,FedEx,Amsterdam,33,25.91
White Mug,2020,Q1,Feb,Sun,0,40.43,Belgium,0.15,Bank Transfer,27.82,Apparel,Royal Mail,Amsterdam,30,23.27
Desk Lamp,2023,Q1,Jan,Mon,16,25.39,Germany,0.21,Credit Card,29.93,Accessories,FedEx,Paris,49,22.51
Blue Pen,2020,Q3,Jul,Sat,22,87.36,Germany,0.18,paypall,28.01,Accessories,UPS,Amsterdam,33,21.82
Headphones,2021,Q3,Aug,Sun,8,-12.97,Sweden,0.14,Bank Transfer,,Apparel,UPS,,-41,-33.76
Desk Lamp,2024,Q3,Jul,Mon,5,78.52,Italy,0.02,Credit Card,20.7,Electronics,UPS,Berlin,10,25.7
Desk Lamp,2024,Q1,Jan,Wed,12,55.61,Norway,0.37,Bank Transfer,7.35,Furniture,Royal Mail,Amsterdam,8,22.23
Blue Pen,2023,Q3,Jul,Wed,0,4.83,Belgium,0.18,Bank Transfer,23.48,Electronics,UPS,Paris,27,21.9
White Mug,2022,Q2,May,Thu,8,29.13,Italy,0.43,paypall,27.64,Accessories,UPS,Amsterdam,27,22.74
Desk Lamp,2024,Q4,Dec,Sat,16,58.95,Australia,0.07,Bank Transfer,5.6,Stationery,UPS,Amsterdam,48,24.85
Backpack,2023,Q2,May,Sun,9,80.04,Germany,0.09,paypall,15.72,Furniture,UPS,Paris,35,27.64
Headphones,2024,Q3,Aug,Sun,9,6.56,Spain,0.42,Bank Transfer,15.65,Furniture,FedEx,Berlin,20,25.33
Blue Pen,2024,Q3,Sep,Sun,14,2.69,Spain,0.24,paypall,9.77,Apparel,Royal Mail,London,7,26.09
Backpack,2024,Q1,Feb,Sun,8,65.54,Netherlands,0.44,paypall,19.83,Apparel,Royal Mail,Berlin,1,25.59
Desk Lamp,2022,Q3,Sep,Sun,0,57.18,United States,0.34,paypall,9.18,Stationery,FedEx,Rome,8,25.56
Notebook,2023,Q1,Jan,Tue,20,4.27,Spain,0.24,Credit Card,21.41,Accessories,DHL,Berlin,28,25.9
Office Chair,2022,Q4,Oct,Tue,12,5.89,Norway,0.33,Bank Transfer,14.36,Electronics,FedEx,Berlin,17,23.9
Wireless Mouse,2023,Q1,Jan,Sun,2,7.74,Italy,0.09,paypall,14.58,Apparel,DHL,London,6,21.62
Blue Pen,2020,Q3,Jul,Sun,11,48.4,Australia,0.21,Bank Transfer,7.34,Apparel,Royal Mail,London,29,23.87
T-shirt,2023,Q1,Mar,Fri,11,27.46,Portugal,0.23,Credit Card,20.14,Accessories,Royal Mail,,15,27.29
Headphones,2023,Q3,Jul,Wed,0,4.69,Sweden,0.31,paypall,9.86,Accessories,DHL,Amsterdam,1,24.98
USB Cable,2020,Q4,Dec,Sat,5,67.16,United States,0.34,Bank Transfer,29.49,Stationery,UPS,London,17,27.07
Desk Lamp,2024,Q1,Jan,Mon,20,73.98,Germany,0.34,Credit Card,6.85,Furniture,DHL,Berlin,30,23.1
Wireless Mouse,2023,Q1,Mar,Tue,17,15.19,Belgium,0.44,Credit Card,15.45,Accessories,FedEx,London,41,24.82
Wireless Mouse,2024,Q2,Apr,Tue,16,63.11,Sweden,0.49,Credit Card,29.15,Accessories,DHL,Rome,29,25.34
White Mug,2021,Q4,Nov,Tue,0,5.54,Spain,0.11,paypall,24.28,Apparel,UPS,Amsterdam,27,24.93
Blue Pen,2021,Q3,Sep,Tue,13,58.6,United Kingdom,0.23,Credit Card,28.98,Furniture,DHL,Amsterdam,33,24.95
Office Chair,2023,Q4,Dec,Fri,2,72.41,Germany,0.16,Bank Transfer,13.72,Stationery,DHL,Rome,13,26.11
Notebook,2023,Q2,Jun,Fri,19,-76.69,Norway,0.04,paypall,,Accessories,Royal Mail,,-28,-24.92
Desk Lamp,2021,Q2,Jun,Tue,17,72.41,Germany,0.42,Credit Card,6.34,Stationery,DHL,Rome,4,23.8
T-shirt,2020,Q1,Feb,Mon,10,24.34,Netherlands,0.16,paypall,26.32,Accessories,UPS,Amsterdam,23,26.3
White Mug,2024,Q3,Jul,Sun,12,97.27,Australia,0.37,paypall,,Electronics,FedEx,,-31,-31.64
Wall Clock,2024,Q4,Nov,Sat,17,-54.59,France,1.717236865,Bank Transfer,,Furniture,UPS,,-32,-22.11
USB Cable,2023,Q2,Jun,Fri,21,26.62,Spain,0.07,Credit Card,25.48,Apparel,Royal Mail,Rome,4,23.83
Blue Pen,2022,Q2,May,Wed,1,91.11,Germany,0.41,Credit Card,5.68,Furniture,UPS,Amsterdam,19,22.63
Office Chair,2020,Q4,Oct,Sat,7,41.95,Italy,0.4,Credit Card,13.59,Stationery,UPS,Amsterdam,32,30.6
Desk Lamp,2023,Q3,Jul,Sun,14,83.75,Netherlands,0.06,paypall,15.3,Electronics,UPS,Amsterdam,49,24.06
Wireless Mouse,2022,Q4,Dec,Sun,1,90.99,Australia,0.0,paypall,21.59,Furniture,Royal Mail,Berlin,5,22.38
Wall Clock,2021,Q3,Jul,Sun,2,31.62,Portugal,0.12,paypall,9.42,Stationery,FedEx,,7,23.44
White Mug,2022,Q4,Dec,Mon,14,87.67,Germany,0.1,Credit Card,5.55,Stationery,UPS,Berlin,30,23.61
Blue Pen,2020,Q4,Oct,Tue,5,27.56,United Kingdom,0.4,Credit Card,17.99,Accessories,FedEx,,29,20.35
Desk Lamp,2020,Q4,Oct,Sun,4,30.71,Germany,0.02,Bank Transfer,16.05,Stationery,FedEx,Amsterdam,24,25.63
Office Chair,2022,Q2,Apr,Thu,10,63.95,Sweden,0.19,paypall,25.41,Furniture,UPS,Rome,33,27.17
USB Cable,2022,Q2,May,Sun,6,70.2,Sweden,0.28,Bank Transfer,5.27,Stationery,DHL,London,17,25.6
Backpack,2021,Q2,Apr,Thu,19,26.72,Germany,0.11,paypall,28.65,Apparel,UPS,London,1,24.0
Notebook,2023,Q3,Sep,Fri,12,76.6,Netherlands,0.25,Bank Transfer,27.98,Accessories,UPS,Paris,42,26.48
Blue Pen,2024,Q2,Jun,Sun,12,39.76,Germany,0.05,Bank Transfer,11.57,Accessories,FedEx,Paris,18,23.5
Notebook,2021,Q4,Nov,Mon,9,66.19,Germany,0.17,paypall,5.3,Apparel,Royal Mail,Berlin,22,25.86
Wireless Mouse,2020,Q3,Sep,Tue,23,1.5,Australia,0.15,paypall,18.37,Furniture,FedEx,London,38,26.48
Wall Clock,2023,Q3,Sep,Sun,13,40.56,Netherlands,0.05,Credit Card,19.34,Furniture,DHL,,46,25.82
Wall Clock,2020,Q4,Nov,Sat,6,-99.72,Sweden,1.803762255,Bank Transfer,,Accessories,UPS,,-46,-24.17
T-shirt,2021,Q2,May,Mon,0,79.85,Portugal,0.48,Credit Card,26.58,Furniture,FedEx,Berlin,48,25.16
Blue Pen,2020,Q4,Oct,Mon,20,54.48,Germany,0.39,Bank Transfer,9.87,Electronics,UPS,Berlin,7,21.94
Headphones,2023,Q4,Nov,Sun,20,49.66,Norway,0.22,paypall,8.19,Electronics,FedEx,Berlin,43,25.23
Wall Clock,2024,Q2,Jun,Fri,10,7.72,Sweden,0.0,Credit Card,22.1,Stationery,UPS,Rome,10,25.65
Office Chair,2023,Q4,Dec,Tue,14,47.35,Norway,0.07,paypall,19.65,Furniture,UPS,Amsterdam,5,30.03
Blue Pen,2024,Q1,Mar,Sun,20,12.18,Norway,0.09,Credit Card,6.95,Furniture,DHL,Rome,15,24.18
Blue Pen,2021,Q2,May,Mon,20,-80.77,Italy,1.882866162,Bank Transfer,,Stationery,UPS,,-47,-26.35
Notebook,2022,Q2,May,Fri,3,89.24,Germany,0.12,Credit Card,27.39,Furniture,UPS,Amsterdam,1,19.15
Notebook,2024,Q2,May,Sat,1,38.86,Netherlands,0.2,Credit Card,26.36,Furniture,UPS,Paris,16,23.85
White Mug,2023,Q2,Apr,Tue,14,93.6,France,0.23,Bank Transfer,10.54,Accessories,Royal Mail,Berlin,22,24.8
Desk Lamp,2020,Q3,Sep,Tue,2,17.83,Australia,0.23,Bank Transfer,18.6,Stationery,FedEx,,38,25.97
T-shirt,2024,Q1,Jan,Sun,10,51.05,Norway,0.49,Credit Card,24.64,Furniture,Royal Mail,Amsterdam,26,26.63
USB Cable,2022,Q1,Mar,Wed,18,29.51,Norway,0.48,Credit Card,13.61,Accessories,Royal Mail,Paris,40,26.14
White Mug,2022,Q2,May,Thu,4,7.83,Netherlands,0.25,Credit Card,8.41,Apparel,UPS,Paris,49,24.04
Blue Pen,2022,Q1,Jan,Sun,4,24.72,United Kingdom,0.0,paypall,10.33,Stationery,FedEx,London,6,26.09
Notebook,2022,Q1,Jan,Tue,20,97.48,Italy,0.06,paypall,10.23,Accessories,Royal Mail,Rome,30,26.26
Desk Lamp,2023,Q4,Oct,Tue,12,69.16,Portugal,0.15,paypall,14.16,Electronics,DHL,Amsterdam,36,25.16
